uf_busca,cidade_busca,universidade_nome,campus_nome,nome,grau,turno,mensalidade,bolsa_integral_cotas,bolsa_integral_ampla,bolsa_parcial_cotas,bolsa_parcial_ampla,nota_integral_ampla,nota_integral_cotas,nota_parcial_ampla,nota_parcial_cotas
PB,Joao Pessoa,Centro Universitário Internacional - Uninter - UNINTER,JOÃO PESSOA (EPITACIO) - Expedicionário,Gestão Comercial,Tecnológico,Curso a Distância,265.00,1,,,,525.08,,,
PB,Joao Pessoa,Centro Universitário Internacional - Uninter - UNINTER,PAP JOÃO PESSOA 01 - Miramar,Gestão Comercial,Tecnológico,Curso a Distância,265.00,1,,,,512.80,,,
PB,Joao Pessoa,Faculdade Internacional da Paraíba - FPB,FACULDADE INTERNACIONAL DA PARAÍBA - Tambiá,Gestão Comercial,Tecnológico,Noturno,451.09,4,3,,,566.06,548.76,,
PB,Joao Pessoa,Universidade Cruzeiro do Sul - UNICSUL,"COESP - JOÃO PESSOA, PARAÍBA - Centro",Gestão Comercial,Tecnológico,Curso a Distância,256.86,,,1,1,,,578.48,574.64
PB,Joao Pessoa,Universidade Paulista - UNIP,JOAO PESSOA II - Tambauzinho,Gestão Comercial,Tecnológico,Curso a Distância,149.00,1,1,,,603.46,529.58,,
PB,Joao Pessoa,Centro Universitário Internacional - Uninter - UNINTER,JOÃO PESSOA (EPITACIO) - Expedicionário,Gestão da Produção Industrial,Tecnológico,Curso a Distância,278.00,,,1,1,,,596.76,614.76
PB,Joao Pessoa,Centro Universitário Internacional - Uninter - UNINTER,PAP JOÃO PESSOA 01 - Miramar,Gestão da Produção Industrial,Tecnológico,Curso a Distância,278.00,1,,,,591.62,,,
PB,Joao Pessoa,Universidade Cruzeiro do Sul - UNICSUL,"COESP - JOÃO PESSOA, PARAÍBA - Centro",Gestão da Qualidade,Tecnológico,Curso a Distância,256.86,,,1,,,,554.22,
PB,Joao Pessoa,Centro Universitário de João Pessoa - Unipê - UNIPÊ,CAMPUS UNIPÊ - Água Fria,Gestão da Tecnologia da Informação,Tecnológico,Noturno,360.60,5,4,,,589.76,571.12,,
PB,Joao Pessoa,Centro Universitário Internacional - Uninter - UNINTER,PAP JOÃO PESSOA 01 - Miramar,Gestão da Tecnologia da Informação,Tecnológico,Curso a Distância,274.00,1,,,,616.98,,,
PB,Joao Pessoa,Faculdade Devry João Pessoa - DVJP,CAMPUS SEDE - Miramar,Gestão da Tecnologia da Informação,Tecnológico,Matutino,386.63,1,,,40,546.72,,450.00,
PB,Joao Pessoa,Faculdade Devry João Pessoa - DVJP,CAMPUS SEDE - Miramar,Gestão da Tecnologia da Informação,Tecnológico,Noturno,386.63,1,,,40,550.38,,450.00,
PB,Joao Pessoa,Faculdade Internacional da Paraíba - FPB,FACULDADE INTERNACIONAL DA PARAÍBA - Tambiá,Gestão da Tecnologia da Informação,Tecnológico,Noturno,465.20,2,1,,,581.86,560.06,,
PB,Joao Pessoa,Universidade Cruzeiro do Sul - UNICSUL,"COESP - JOÃO PESSOA, PARAÍBA - Centro",Gestão da Tecnologia da Informação,Tecnológico,Curso a Distância,269.92,,,1,,,,550.06,
PB,Joao Pessoa,Universidade Paulista - UNIP,JOAO PESSOA II - Tambauzinho,Gestão da Tecnologia da Informação,Tecnológico,Curso a Distância,279.00,1,,,,627.40,,,
PB,Joao Pessoa,Instituto Paraibano de Ensino Renovado - INPER,TAMBIÁ - Tambiá,Gestão de Empreendimentos Esportivos,Tecnológico,Noturno,473.60,1,1,,,533.52,557.42,,
